step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,Predicted_RF,Predicted_XGB,Predicted_Log
688,21025.05,26373.0,5347.95,0.0,0.0,0,0,0,0
571,173819.89,27600.0,0.0,106703.87,280523.76,0,0,0,0
235,145100.67,0.0,0.0,912987.91,1058088.58,0,0,0,0
312,12046.78,0.0,0.0,0.0,0.0,0,0,0,0
158,101399.34,0.0,0.0,1721141.36,1822540.7,0,0,0,0
17,305258.08,345380.13,40122.05,783949.06,1089207.14,0,0,0,0
232,1812606.43,636763.34,0.0,2619345.49,4431951.91,0,0,0,0
203,37542.34,0.0,0.0,64738.93,102281.27,0,0,0,0
43,16058.38,1000.0,0.0,0.0,0.0,0,0,0,0
393,144113.83,539801.0,395687.17,0.0,144113.83,0,0,0,0
393,272927.7,123586.0,0.0,254567.97,527495.68,0,0,0,0
210,122744.99,0.0,0.0,129975.65,252720.64,0,0,0,0
184,181655.85,5777.0,187432.85,430813.9,709867.78,0,0,0,0
370,210208.02,11687.0,0.0,0.0,210208.02,0,0,0,0
280,5925.8,197783.21,191857.41,0.0,0.0,0,0,0,0
165,13528.5,35502.5,21974.0,0.0,0.0,0,0,0,0
518,380110.21,2227841.77,2607951.97,2444755.87,2064645.66,0,0,0,0
12,38466.88,575474.97,537008.09,0.0,0.0,0,0,0,0
157,221085.08,0.0,0.0,1715368.67,1936453.75,0,0,0,0
256,16770.2,10018.0,0.0,0.0,0.0,0,0,0,0
408,39047.01,6640.74,0.0,0.0,0.0,0,0,0,0
207,260417.7,1020.0,0.0,298234.7,558652.41,0,0,0,0
160,305758.12,659.0,306417.12,0.0,0.0,0,0,0,0
156,207196.57,131212.0,0.0,1775186.53,1982383.1,0,0,0,0
161,454810.01,0.0,0.0,1794932.23,2249742.24,0,0,0,0
354,1011847.18,0.0,0.0,1538762.98,2550610.16,0,0,0,0
9,25623.38,0.0,0.0,0.0,0.0,0,0,0,0
12,15104.21,21198.0,6093.79,0.0,0.0,0,0,0,0
404,183619.36,1385170.76,1568790.12,301226.64,117607.28,0,0,0,0
42,294923.96,0.0,0.0,938810.03,1231640.48,0,0,0,0
398,35922.82,125686.8,89763.98,0.0,0.0,0,0,0,0
297,146506.1,21557.0,0.0,1878454.5,2024960.6,0,0,0,0
16,28504.79,0.0,0.0,918833.97,973860.41,0,0,0,0
284,174502.55,0.0,0.0,296644.01,471146.56,0,0,0,0
357,316204.35,67409.0,383613.35,45059.86,0.0,0,0,0,0
279,184041.8,10944404.15,11128445.95,1151204.08,967162.28,0,0,0,0
234,13838.01,15376.0,1537.99,0.0,0.0,0,0,0,0
18,296098.05,275815.76,571913.81,904556.66,597794.96,0,0,0,0
166,47418.84,506048.13,553466.97,922038.44,874619.6,0,0,0,0
372,2151.48,0.0,0.0,0.0,0.0,0,0,0,0
179,111062.49,0.0,0.0,1943307.89,2054370.38,0,0,0,0
298,171542.73,21125.0,0.0,618905.14,790447.87,0,0,0,0
178,399607.64,2239.0,0.0,16216.0,415823.64,0,0,0,0
239,16007.36,37829.0,21821.64,0.0,0.0,0,0,0,0
305,29147.99,189446.6,160298.61,1098695.13,1127843.12,0,0,0,0
327,74779.85,16441196.21,16515976.06,1891220.94,1816441.09,0,0,0,0
323,56101.53,113.0,0.0,0.0,56101.53,0,0,0,0
156,11762.72,80158.0,68395.28,0.0,0.0,0,0,0,0
193,58257.74,143637.0,85379.26,0.0,0.0,0,0,0,0
17,569490.16,0.0,0.0,607065.4,1531079.79,0,0,0,0
234,788.25,0.0,0.0,0.0,0.0,0,0,0,0
43,123029.79,0.0,0.0,357189.14,480218.94,0,0,0,0
370,71327.3,0.0,0.0,9115144.07,9186471.37,0,0,0,0
202,3474.64,887.0,0.0,0.0,0.0,0,0,0,0
334,179186.4,38462.44,0.0,1709767.15,1888953.55,0,0,0,0
19,251382.28,0.0,0.0,634514.51,986203.27,0,0,0,0
12,116940.6,7862522.67,7979463.27,424766.69,877732.86,0,0,0,0
455,17344.3,28610.06,11265.75,0.0,0.0,0,0,0,0
260,2958.54,16290.0,13331.46,0.0,0.0,0,0,0,0
226,106254.87,0.0,0.0,318332.84,424587.71,0,0,0,0
330,244642.25,54216.0,0.0,0.0,244642.25,0,0,0,0
20,85586.24,18435311.92,18520898.16,326038.96,216416.56,0,0,0,0
326,546742.25,8747444.51,9294186.76,1035058.17,488315.92,0,0,0,0
235,209659.16,109956.0,319615.16,90659.75,0.0,0,0,0,0
403,16047.83,1944.24,0.0,0.0,0.0,0,0,0,0
10,93295.22,63981.98,0.0,0.0,93295.22,0,0,0,0
400,107168.9,0.0,0.0,616781.6,723950.5,0,0,0,0
574,37096.47,2914227.68,2951324.15,538237.08,501140.61,0,0,0,0
260,17210.11,0.0,0.0,0.0,0.0,0,0,0,0
45,7922.3,0.0,0.0,0.0,0.0,0,0,0,0
355,110710.5,2873787.39,2984497.89,320880.41,210169.91,0,0,0,0
279,53481.25,10175.0,63656.25,1881407.02,1827925.76,0,0,0,0
331,4700.84,104947.0,100246.16,0.0,0.0,0,0,0,0
187,10597.14,46241.0,35643.86,0.0,0.0,0,0,0,0
398,126830.36,317948.65,191118.29,636836.15,763666.51,0,0,0,0
401,19887.7,16871941.15,16891828.84,55559.02,35671.33,0,0,0,0
325,29324.23,298385.94,269061.71,0.0,0.0,0,0,0,0
327,18931.67,4719630.79,4738562.46,1740551.29,1721619.62,0,0,0,0
42,159057.75,13758198.66,13917256.42,1322900.88,1163843.13,0,0,0,0
661,380749.24,49635.0,0.0,0.0,380749.24,0,0,0,0
594,88646.6,215669.0,127022.4,4249804.94,4338451.54,0,0,0,0
43,117557.88,70042.0,0.0,104596.08,124814.98,0,0,0,0
542,313799.11,0.0,0.0,929585.58,1243384.7,0,0,0,0
260,1435.87,93655.0,92219.13,0.0,0.0,0,0,0,0
326,1772.61,111.0,0.0,0.0,0.0,0,0,0,0
306,7003.75,0.0,0.0,0.0,0.0,0,0,0,0
212,139405.68,0.0,0.0,4600279.09,4739684.77,0,0,0,0
396,147029.54,6963299.91,7110329.45,14697201.03,14550171.49,0,0,0,0
379,249978.4,0.0,0.0,3463235.97,3713214.37,0,0,0,0
283,53781.62,0.0,0.0,0.0,0.0,0,0,0,0
136,44313.6,503531.8,459218.19,0.0,0.0,0,0,0,0
39,255135.05,191807.39,0.0,3724999.62,3980134.68,0,0,0,0
228,162065.4,1632047.63,1794113.04,721672.75,559607.35,0,0,0,0
19,52802.54,23690.0,76492.54,0.0,0.0,0,0,0,0
393,439065.41,16342.0,0.0,807.0,70302.33,0,0,0,0
134,24705.99,16622.0,0.0,0.0,0.0,0,0,0,0
133,39508.84,0.0,0.0,0.0,0.0,0,0,0,0
9,2748.09,50319.0,47570.91,0.0,0.0,0,0,0,0
159,273704.56,541.0,0.0,155763.12,429467.68,0,0,0,0
403,3090.59,6458763.0,6461853.59,668935.91,665845.32,0,0,0,0
33,1402606.33,0.0,0.0,6458121.34,7860727.67,0,0,0,0
281,425054.55,0.0,0.0,1272976.68,1698031.23,0,0,0,0
420,9151.82,15467.0,6315.18,0.0,0.0,0,0,0,0
398,44243.11,30188763.69,30233006.8,505968.79,461725.68,0,0,0,0
137,20269.08,0.0,0.0,0.0,0.0,0,0,0,0
232,5124.55,0.0,0.0,0.0,0.0,0,0,0,0
140,1472.75,0.0,0.0,0.0,0.0,0,0,0,0
522,354108.11,12571.0,0.0,149641.96,503750.07,0,0,0,0
356,213155.75,5174.0,0.0,0.0,213155.75,0,0,0,0
202,284053.43,20424.0,304477.43,0.0,0.0,0,0,0,0
300,4766.6,297422.0,292655.4,0.0,0.0,0,0,0,0
375,26067.22,0.0,0.0,2906486.01,2932553.23,0,0,0,0
686,184374.48,34788.0,0.0,0.0,184374.48,0,0,0,0
179,105538.34,6985846.9,7091385.24,350791.5,245253.16,0,0,0,0
250,340450.75,0.0,0.0,398521.02,738971.77,0,0,0,0
255,167969.48,29707.0,0.0,2039182.05,2207151.53,0,0,0,0
154,25566.25,0.0,0.0,102877.57,128443.82,0,0,0,0
401,7147.42,0.0,0.0,0.0,0.0,0,0,0,0
13,354326.44,20543.0,0.0,104574.73,458901.17,0,0,0,0
396,286279.84,25589.0,311868.84,893073.57,606793.73,0,0,0,0
235,7275.58,214852.0,207576.42,0.0,0.0,0,0,0,0
375,33639.18,86.0,0.0,0.0,0.0,0,0,0,0
20,7250.64,2127.83,0.0,0.0,0.0,0,0,0,0
179,310201.06,241997.0,0.0,0.0,310201.06,0,0,0,0
306,3053.39,317.0,0.0,0.0,0.0,0,0,0,0
308,215272.86,6013.0,221285.86,107497.84,0.0,0,0,0,0
327,452500.25,9924.0,462424.25,14985.0,0.0,0,0,0,0
251,42324.37,0.0,0.0,0.0,0.0,0,0,0,0
158,194926.46,0.0,0.0,347189.89,542116.36,0,0,0,0
187,169579.75,1329120.39,1498700.14,477896.61,308316.86,0,0,0,0
139,151715.05,988.0,0.0,0.0,151715.05,0,0,0,0
20,239841.05,0.0,0.0,1140947.41,1380788.46,0,0,0,0
225,2141.36,484146.0,486287.36,1287002.25,1284860.89,0,0,0,0
135,173740.59,5283961.86,5457702.45,530651.28,356910.69,0,0,0,0
382,3808.33,14631.64,10823.31,0.0,0.0,0,0,0,0
661,850723.71,0.0,0.0,2059098.76,2909822.47,0,0,0,0
353,176668.87,15615.0,0.0,0.0,176668.87,0,0,0,0
251,72859.98,0.0,0.0,0.0,0.0,0,0,0,0
321,148710.2,30926.0,0.0,30525.35,179235.55,0,0,0,0
25,110272.65,3864673.26,3974945.91,1197664.81,1087392.16,0,0,0,0
374,190513.98,0.0,0.0,2176735.5,2367249.48,0,0,0,0
345,104313.9,2316846.34,2421160.24,450100.1,345786.2,0,0,0,0
160,2759.82,51522.0,48762.18,0.0,0.0,0,0,0,0
165,187511.41,2614.0,0.0,466495.66,654007.07,0,0,0,0
253,1304298.18,30899.0,0.0,790308.79,2094606.97,0,0,0,0
278,423686.8,0.0,0.0,5397936.71,5821623.51,0,0,0,0
298,22709.8,0.0,0.0,0.0,0.0,0,0,0,0
398,49972.89,55640.99,5668.1,0.0,0.0,0,0,0,0
181,110980.13,0.0,0.0,165411.87,276392.0,0,0,0,0
47,56986.68,0.0,0.0,2077391.06,2134377.74,0,0,0,0
234,163210.65,39767.0,202977.65,0.0,0.0,0,0,0,0
18,136566.9,0.0,0.0,600595.2,1378103.72,0,0,0,0
37,652887.24,73530.0,0.0,105047.96,757935.2,0,0,0,0
275,54389.62,1268436.23,1322825.85,57939.97,3550.35,0,0,0,0
324,7274.68,0.0,0.0,82697.59,89972.26,0,0,0,0
132,214124.65,0.0,0.0,599321.01,813445.66,0,0,0,0
276,126340.96,224275.79,97934.83,187464.46,313805.42,0,0,0,0
139,80386.99,284791.31,365178.3,0.0,0.0,0,0,0,0
354,23555.57,6472297.42,6495852.98,547177.69,523622.12,0,0,0,0
325,344719.08,3224611.12,3569330.2,1139731.89,795012.81,0,0,0,0
163,24830.67,0.0,0.0,0.0,0.0,0,0,0,0
139,82685.25,4187126.52,4269811.76,741742.31,659057.07,0,0,0,0
307,1584.47,22132.0,20547.53,0.0,0.0,0,0,0,0
307,16970.79,71871.47,54900.68,0.0,0.0,0,0,0,0
308,41973.43,0.0,0.0,0.0,0.0,0,0,0,0
12,18061.57,118.0,0.0,0.0,0.0,0,0,0,0
285,113665.18,44952.0,0.0,4359057.37,4472722.56,0,0,0,0
208,4471.36,25937.0,21465.64,0.0,0.0,0,0,0,0
330,293190.03,121866.0,415056.03,0.0,0.0,0,0,0,0
332,22748.63,72851.12,50102.5,0.0,0.0,0,0,0,0
351,10360.15,7054.0,0.0,0.0,0.0,0,0,0,0
500,186283.19,0.0,0.0,11644856.21,11831139.41,0,0,0,0
13,80606.5,0.0,0.0,2372262.53,2655637.38,0,0,0,0
352,22067.46,0.0,0.0,7463050.03,7485117.49,0,0,0,0
23,13215.59,51649.0,38433.41,0.0,0.0,0,0,0,0
345,81601.55,1670371.87,1751973.43,688312.81,606711.25,0,0,0,0
17,684.52,0.0,0.0,0.0,0.0,0,0,0,0
158,347500.71,0.0,0.0,484549.74,832050.46,0,0,0,0
227,67016.09,559.0,0.0,503832.53,570848.62,0,0,0,0
251,3750.42,227156.0,223405.58,0.0,0.0,0,0,0,0
351,119371.78,0.0,0.0,985951.04,1105322.82,0,0,0,0
476,45642.93,330815.0,376457.93,300937.77,255294.84,0,0,0,0
14,1584.02,14882.0,13297.98,0.0,0.0,0,0,0,0
38,1013225.68,51823.0,0.0,110540.34,1123766.03,0,0,0,0
346,199243.83,0.0,0.0,2397987.06,2597230.89,0,0,0,0
12,27412.44,356849.01,329436.56,0.0,0.0,0,0,0,0
348,19088.04,0.0,0.0,0.0,0.0,0,0,0,0
595,172078.61,0.0,0.0,1090747.3,1262825.91,0,0,0,0
329,1277118.76,218042.0,0.0,63975.09,1341093.85,0,0,0,0
273,106118.95,0.0,0.0,387962.88,494081.82,0,0,0,0
137,6438.1,4041.0,0.0,0.0,0.0,0,0,0,0
226,8953.92,0.0,0.0,0.0,0.0,0,0,0,0
34,15229.42,3041.0,0.0,0.0,0.0,0,0,0,0
162,108121.82,4114033.91,4222155.72,186431.05,78309.23,0,0,0,0
301,199300.31,109.0,199409.31,0.0,0.0,0,0,0,0
352,186533.11,4743142.47,4929675.58,983373.35,796840.23,0,0,0,0
379,306838.07,0.0,0.0,6752977.2,7059815.27,0,0,0,0
354,242786.62,19936.0,262722.62,9475892.4,9233105.78,0,0,0,0
379,253094.11,0.0,253094.11,586687.55,333593.44,0,0,0,0
189,1581.48,0.0,0.0,0.0,0.0,0,0,0,0
162,369112.07,11471.0,0.0,230947.89,600059.97,0,0,0,0
183,321105.47,0.0,0.0,3690828.44,4011933.92,0,0,0,0
209,16657.51,24439.0,7781.49,0.0,0.0,0,0,0,0
95,11724.0,38201.0,26477.0,0.0,0.0,0,0,0,0
164,339011.65,12168.0,0.0,14688.46,353700.11,0,0,0,0
12,184368.53,10928.0,195296.53,25706.0,0.0,0,0,0,0
260,93598.8,7602.0,0.0,0.0,93598.8,0,0,0,0
356,1055.13,0.0,0.0,0.0,0.0,0,0,0,0
252,98987.95,47332.0,0.0,28991.04,127978.99,0,0,0,0
321,244820.91,3691985.97,3936806.88,11253797.04,11008976.13,0,0,0,0
12,281540.2,0.0,0.0,2359254.16,2500361.82,0,0,0,0
297,34180.41,331164.0,296983.59,0.0,0.0,0,0,0,0
281,19911.64,11069.0,0.0,0.0,0.0,0,0,0,0
308,728.38,20311.0,19582.62,0.0,0.0,0,0,0,0
159,13881.72,0.0,0.0,0.0,0.0,0,0,0,0
377,303182.27,859.0,0.0,1778388.82,2081571.09,0,0,0,0
400,81520.72,20092.0,0.0,0.0,81520.72,0,0,0,0
203,396305.34,5494.0,401799.34,2351971.75,1955666.41,0,0,0,0
211,4336.49,0.0,0.0,0.0,0.0,0,0,0,0
250,72379.64,31701.0,0.0,370938.57,443318.21,0,0,0,0
692,317603.53,361846.56,44243.04,2948838.02,3266441.55,0,0,0,0
156,102199.4,0.0,0.0,1073734.76,1175934.16,0,0,0,0
237,163332.22,11164.0,0.0,126995.94,290328.16,0,0,0,0
527,172953.08,0.0,0.0,195217.35,368170.43,0,0,0,0
159,43034.46,1218.0,0.0,1545356.58,1588391.05,0,0,0,0
252,466119.24,1190.0,0.0,60297.21,526416.45,0,0,0,0
162,106201.83,0.0,0.0,10309930.87,10416132.7,0,0,0,0
14,8676.93,193946.24,185269.31,0.0,0.0,0,0,0,0
280,35826.48,0.0,0.0,0.0,0.0,0,0,0,0
121,12721.24,0.0,0.0,0.0,0.0,0,0,0,0
403,146741.08,40629.0,0.0,0.0,146741.08,0,0,0,0
442,202170.88,4693379.18,4895550.06,857887.48,655716.6,0,0,0,0
140,10317.07,40729.0,30411.93,0.0,0.0,0,0,0,0
232,329468.01,0.0,0.0,2452046.0,2781514.01,0,0,0,0
283,5911.49,0.0,0.0,0.0,0.0,0,0,0,0
141,4921.9,10272.0,5350.1,0.0,0.0,0,0,0,0
188,152887.74,0.0,0.0,171929.96,324817.71,0,0,0,0
348,609606.18,0.0,0.0,1622294.86,2231901.04,0,0,0,0
140,3346.2,34570.93,31224.73,0.0,0.0,0,0,0,0
592,246709.19,0.0,0.0,1819549.52,2066258.71,0,0,0,0
33,36301.26,87580.31,51279.05,0.0,0.0,0,0,0,0
236,298770.85,49879.0,0.0,207086.37,505857.22,0,0,0,0
162,12796.71,91930.68,79133.97,0.0,0.0,0,0,0,0
308,22519.74,185.0,0.0,0.0,0.0,0,0,0,0
14,290728.44,0.0,0.0,3362164.68,3979303.08,0,0,0,0
253,230308.6,168.0,0.0,1810628.51,2040937.12,0,0,0,0
469,59851.52,39877.98,0.0,1960462.9,2020314.43,0,0,0,0
492,141575.41,30844.0,0.0,436660.84,578236.25,0,0,0,0
371,379376.14,425025.59,45649.46,543918.81,747093.78,0,0,0,0
357,25558.15,27748.78,2190.63,0.0,0.0,0,0,0,0
226,509908.56,5012.0,0.0,0.0,509908.56,0,0,0,0
346,41798.16,81390.0,123188.16,0.0,0.0,0,0,0,0
308,64519.99,0.0,0.0,436781.01,501300.99,0,0,0,0
163,32239.84,39464.29,7224.45,0.0,0.0,0,0,0,0
40,357398.84,0.0,0.0,1699425.62,2056824.46,0,0,0,0
203,267175.63,2712403.34,2979578.97,692496.68,425321.05,0,0,0,0
44,212898.16,102273.0,0.0,728700.65,1012552.09,0,0,0,0
236,6155.5,56398.0,50242.5,0.0,0.0,0,0,0,0
43,100040.67,20080.0,0.0,0.0,100040.67,0,0,0,0
327,38777.64,10756.0,0.0,0.0,0.0,0,0,0,0
159,541477.46,0.0,0.0,1768550.64,3820753.82,0,0,0,0
143,1970.55,29122.0,27151.45,0.0,0.0,0,0,0,0
162,252857.76,39482.0,0.0,1773353.81,2026211.57,0,0,0,0
157,106001.45,0.0,0.0,185114.62,291116.07,0,0,0,0
323,305706.89,0.0,0.0,943826.64,1249533.54,0,0,0,0
350,608752.24,212833.8,0.0,2654210.0,3262962.24,0,0,0,0
397,493531.97,0.0,0.0,911562.77,1405094.74,0,0,0,0
492,86087.36,115649.0,201736.36,0.0,0.0,0,0,0,0
353,262379.25,2051968.98,2314348.23,91438186.57,91175807.32,0,0,0,0
403,34814.2,14151826.48,14186640.68,144112.4,109298.2,0,0,0,0
156,1054172.18,21787.0,0.0,0.0,1054172.18,0,0,0,0
22,8938.09,84627.0,75688.91,0.0,0.0,0,0,0,0
347,351475.05,15905.0,0.0,445937.43,797412.48,0,0,0,0
12,152193.7,232.0,0.0,2502875.01,3371435.61,0,0,0,0
135,12922.44,215519.0,202596.56,0.0,0.0,0,0,0,0
323,18300.33,139970.15,121669.82,0.0,0.0,0,0,0,0
138,145501.11,2585887.05,2731388.16,6027268.11,6214466.84,0,0,0,0
333,39406.69,386.0,0.0,0.0,0.0,0,0,0,0
399,16719.03,510.0,0.0,0.0,0.0,0,0,0,0
138,4460.66,72740.3,68279.64,0.0,0.0,0,0,0,0
469,33284.64,391165.0,424449.64,9470419.66,9437135.02,0,0,0,0
403,205944.38,0.0,0.0,2233769.25,2003005.7,0,0,0,0
227,315272.96,0.0,0.0,1988402.36,2303675.32,0,0,0,0
399,7846.24,0.0,0.0,0.0,0.0,0,0,0,0
400,472476.68,18924.0,491400.68,17596.33,0.0,0,0,0,0
94,5943.15,46714.0,40770.85,0.0,0.0,0,0,0,0
212,108794.26,1136203.3,1244997.56,1277463.59,1188990.46,0,0,0,0
187,3254.03,40037.0,36782.97,0.0,0.0,0,0,0,0
324,568885.21,12592.0,0.0,12655.92,581541.13,0,0,0,0
18,141597.93,16904.0,0.0,0.0,207617.11,0,0,0,0
327,555799.49,137934.0,693733.49,106199.34,0.0,0,0,0,0
138,32610.24,0.0,0.0,0.0,0.0,0,0,0,0
234,399285.32,0.0,0.0,4218621.8,4617907.12,0,0,0,0
380,10121.18,112452.0,102330.82,81895.53,92016.7,0,0,0,0
155,17901.01,17651.0,0.0,0.0,0.0,0,0,0,0
236,184217.14,0.0,0.0,324334.74,508551.88,0,0,0,0
371,312143.7,35874.0,0.0,0.0,312143.7,0,0,0,0
138,30851.35,0.0,0.0,0.0,0.0,0,0,0,0
209,220679.36,7948.0,228627.36,93407.75,0.0,0,0,0,0
136,11930.6,55553.0,43622.4,0.0,0.0,0,0,0,0
403,284420.28,10707.0,295127.28,247323.16,0.0,0,0,0,0
353,145360.63,9072138.11,9217498.73,889948.4,744587.77,0,0,0,0
145,231597.27,103323.64,0.0,372398.28,603995.56,0,0,0,0
256,283447.81,300.0,283747.81,1722253.88,1438806.08,0,0,0,0
353,238989.43,0.0,0.0,693053.6,932043.02,0,0,0,0
354,170876.09,90444.0,0.0,0.0,170876.09,0,0,0,0
212,576.99,53323.69,52746.69,0.0,0.0,0,0,0,0
212,169033.96,0.0,0.0,494191.29,663225.25,0,0,0,0
35,288640.97,121566.0,410206.97,0.0,0.0,0,0,0,0
207,9063.6,349994.46,340930.87,617196.15,628220.39,0,0,0,0
279,321597.53,10520.0,0.0,124391.51,445989.04,0,0,0,0
35,13059.7,0.0,0.0,0.0,0.0,0,0,0,0
408,708557.67,23901.29,0.0,20712688.2,21421245.88,0,0,0,0
158,149737.33,0.0,0.0,302153.7,451891.02,0,0,0,0
400,208986.65,922390.45,1131377.1,6670479.26,6461492.61,0,0,0,0
329,435227.16,30794.0,0.0,398415.98,833643.14,0,0,0,0
284,97939.13,603.0,0.0,0.0,97939.13,0,0,0,0
93,1141.36,10332.0,9190.64,0.0,0.0,0,0,0,0
134,305386.3,68096.0,0.0,0.0,305386.3,0,0,0,0
9,366216.77,14717.0,0.0,554924.32,270654.96,0,0,0,0
259,120464.04,0.0,0.0,3681609.74,3802073.78,0,0,0,0
279,73453.91,664.0,0.0,1675306.3,1748760.21,0,0,0,0
210,87606.3,546.0,0.0,367832.26,455438.56,0,0,0,0
398,14014.77,331983.88,317969.11,11148831.1,11162845.87,0,0,0,0
130,281916.39,75142.0,0.0,244536.52,526452.92,0,0,0,0
37,20868.57,0.0,0.0,1590570.41,1611438.98,0,0,0,0
95,24914.8,0.0,0.0,288642.58,313557.38,0,0,0,0
228,130587.18,18546679.06,18677266.24,383598.63,253011.45,0,0,0,0
322,28591.42,0.0,0.0,1211089.44,1239680.86,0,0,0,0
329,61803.53,39283.0,0.0,711499.48,773303.01,0,0,0,0
400,14184.91,14131.0,0.0,0.0,0.0,0,0,0,0
12,250937.91,0.0,0.0,4597826.12,5040147.31,0,0,0,0
35,6227.71,7414.0,1186.29,0.0,0.0,0,0,0,0
323,384677.62,255376.0,0.0,1062725.68,1447403.3,0,0,0,0
9,190020.78,60553.0,0.0,78487.87,268508.66,0,0,0,0
160,352289.33,0.0,0.0,542746.12,895035.45,0,0,0,0
400,74734.61,53049.0,0.0,2227844.84,2302579.45,0,0,0,0
209,54006.06,27486.38,0.0,739316.06,793322.13,0,0,0,0
182,339531.96,0.0,0.0,1301699.37,1641231.33,0,0,0,0
156,285981.51,13230968.71,13516950.22,3296112.92,3010131.41,0,0,0,0
278,57142.25,0.0,0.0,314450.8,371593.05,0,0,0,0
158,1336.24,0.0,0.0,1282336.83,1283673.07,0,0,0,0
299,13782.25,12114.0,0.0,0.0,0.0,0,0,0,0
42,208052.34,6671753.43,6879805.77,315387.61,107335.27,0,0,0,0
401,133098.75,101134.0,234232.75,1545672.98,1412574.23,0,0,0,0
329,238888.01,25727192.87,25966080.88,659178.93,420290.92,0,0,0,0
299,567087.95,72709.0,0.0,5163105.55,5730193.5,0,0,0,0
14,203370.53,0.0,0.0,1385554.48,3371164.99,0,0,0,0
37,285822.06,30789.0,316611.06,64597.4,0.0,0,0,0,0
187,141640.6,12393174.02,12534814.61,896945.46,755304.87,0,0,0,0
10,4813.59,42530.0,37716.41,0.0,0.0,0,0,0,0
402,6212.2,0.0,0.0,0.0,0.0,0,0,0,0
39,4205.99,717.0,4922.99,128151.69,123945.7,0,0,0,0
